decimalLatitude,decimalLongitude,species,geometry
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
35.11733,129.12712,Pitta nympha,POINT (129.12712 35.11733)
35.118233,127.006096,Pitta nympha,POINT (127.006096 35.118233)
37.947327,124.6648,Pitta nympha,POINT (124.6648 37.947327)
34.669563,125.41757,Pitta nympha,POINT (125.41757 34.669563)
37.673767,126.487656,Pitta nympha,POINT (126.487656 37.673767)
37.792477,127.5275,Pitta nympha,POINT (127.5275 37.792477)
33.283287,126.27345,Pitta nympha,POINT (126.27345 33.283287)
35.85678,127.13765,Pitta nympha,POINT (127.13765 35.85678)
34.77761,128.63344,Pitta nympha,POINT (128.63344 34.77761)
34.784103,128.62965,Pitta nympha,POINT (128.62965 34.784103)
37.63331,126.84277,Pitta nympha,POINT (126.84277 37.63331)
36.928116,128.94598,Pitta nympha,POINT (128.94598 36.928116)
33.468346,126.6073,Pitta nympha,POINT (126.6073 33.468346)
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
36.677032,127.22971,Pitta nympha,POINT (127.22971 36.677032)
33.516865,126.7171,Pitta nympha,POINT (126.7171 33.516865)
37.742943,126.82937,Pitta nympha,POINT (126.82937 37.742943)
37.72209,126.688034,Pitta nympha,POINT (126.688034 37.72209)
36.22725,126.07898,Pitta nympha,POINT (126.07898 36.22725)
33.489693,126.80956,Pitta nympha,POINT (126.80956 33.489693)
37.742943,126.82937,Pitta nympha,POINT (126.82937 37.742943)
